,Date,Duration,Pulse,Maxpulse,Calories,Hour
0,2023-03-01,60,110,130,1.0,1.0
1,2023-03-02,60,117,145,1.0,1.0
2,2023-03-03,60,103,135,1.0,1.0
3,2023-03-04,45,109,175,1.0,0.75
4,2023-03-05,45,117,148,1.0,0.75
5,2023-03-06,60,102,127,1.0,1.0
6,2023-03-07,60,110,136,1.0,1.0
7,2023-03-08,45,104,134,1.0,0.75
8,2023-03-09,30,109,133,1.0,0.5
9,2023-03-10,60,98,124,1.0,1.0
10,2023-03-11,60,103,147,1.0,1.0
11,2023-03-12,60,100,120,1.0,1.0
12,2023-03-13,60,106,128,1.0,1.0
13,2023-03-13,60,106,128,1.0,1.0
14,,60,98,123,1.0,1.0
15,,60,98,120,1.0,1.0
16,,60,100,120,1.0,1.0
17,,45,90,112,,0.75
18,,60,103,123,1.0,1.0
19,,45,97,125,1.0,0.75
20,,60,108,131,1.0,1.0
21,,45,100,119,1.0,0.75
22,,60,130,101,1.0,1.0
23,,45,105,132,1.0,0.75
24,,60,102,126,1.0,1.0
25,,60,100,120,1.0,1.0
26,,60,92,118,1.0,1.0
27,,60,103,132,,1.0
28,,60,100,132,1.0,1.0
29,,60,102,129,1.0,1.0
30,,60,92,115,1.0,1.0
31,,45,90,112,1.0,0.75
32,,60,101,124,1.0,1.0
33,,60,93,113,1.0,1.0
34,,60,107,136,1.0,1.0
35,,60,114,140,1.0,1.0
36,,60,102,127,1.0,1.0
37,,60,100,120,1.0,1.0
38,,60,100,120,1.0,1.0
39,,45,104,129,1.0,0.75
40,,45,90,112,1.0,0.75
41,,60,98,126,1.0,1.0
42,,60,100,122,1.0,1.0
43,,60,111,138,1.0,1.0
44,,60,111,131,1.0,1.0
45,,60,99,119,1.0,1.0
46,,60,109,153,1.0,1.0
47,,45,111,136,1.0,0.75
48,,45,108,129,1.0,0.75
49,,60,111,139,1.0,1.0
50,,60,107,136,1.0,1.0
51,,80,123,146,1.0,1.3333333333333333
52,,60,106,130,1.0,1.0
53,,60,118,151,1.0,1.0
54,,30,136,175,1.0,0.5
55,,60,121,146,1.0,1.0
56,,60,118,121,1.0,1.0
57,,45,115,144,1.0,0.75
58,,20,153,172,1.0,0.3333333333333333
59,,45,123,152,1.0,0.75
60,,210,108,160,1.0,3.5
61,,160,110,137,1.0,2.6666666666666665
62,,160,109,135,1.0,2.6666666666666665
63,,45,118,141,1.0,0.75
64,,20,110,130,1.0,0.3333333333333333
65,,180,90,130,1.0,3.0
66,,150,105,135,1.0,2.5
67,,150,107,130,1.0,2.5
68,,20,106,136,1.0,0.3333333333333333
69,,300,108,143,1.0,5.0
70,,150,97,129,1.0,2.5
71,,60,109,153,1.0,1.0
72,,90,100,127,1.0,1.5
73,,150,97,127,1.0,2.5
74,,45,114,146,1.0,0.75
75,,90,98,125,1.0,1.5
76,,45,105,134,1.0,0.75
77,,45,110,141,1.0,0.75
78,,120,100,130,1.0,2.0
79,,270,100,131,1.0,4.5
